time,type
392,N
1628,N
2868,N
4112,N
5376,N
6640,N
7936,N
9192,N
10468,N
11724,N
12976,N
14236,N
15472,N
16680,N
17884,N
19092,N
20320,N
21552,N
22788,N
24048,N
25300,N
26536,N
27800,N
29056,N
30300,N
31548,N
32792,N
34012,N
35196,N
36388,N
37572,N
38760,N
39920,N
41076,N
42248,N
43436,N
44612,N
45780,N
46936,N
48096,N
49240,N
50380,N
51508,N
52620,N
53772,N
54968,N
56240,N
57512,N
58804,N
60088,N
61256,N
62372,N
63560,N
64824,N
66068,N
67308,N
68548,N
69812,N
71036,N
72244,N
73464,N
74644,N
75812,N
76968,N
78132,N
79328,N
80516,N
81704,N
82900,N
84096,N
85284,N
86496,N
87680,N
88876,N
90072,N
91288,N
92488,N
93684,N
94900,N
96092,N
97312,N
98548,N
99768,N
100996,N
102236,N
103468,N
104676,N
105888,N
107092,N
108312,N
109528,N
110772,N
112032,N
112892,S
114304,N
115572,N
116820,N
118084,N
119332,N
120580,N
121812,N
123008,N
124224,N
125412,N
126604,N
127828,N
129015,N
130220,N
131412,N
132624,N
133868,N
135104,N
136368,N
137640,N
138924,N
140148,N
141288,N
142400,N
143536,N
144740,N
145940,N
147108,N
148268,N
149576,N
150776,N
151952,N
153116,N
154244,N
155384,N
156532,N
157660,N
158788,N
159936,N
161080,N
162200,N
163308,N
164444,N
165580,N
166708,N
167904,N
169056,N
170240,N
171452,N
172628,N
173832,N
175056,N
176244,N
177500,N
178684,N
179872,N
181136,N
182344,N
183552,N
184748,N
185940,N
187128,N
188276,N
189420,N
190548,N
191664,N
192792,N
193940,N
195040,N
196136,N
197240,N
198300,N
199404,N
200548,N
201656,N
202824,N
203964,N
205116,N
206304,N
207460,N
208588,N
209816,N
210988,N
212124,N
213300,N
214456,N
215612,N
216760,N
217940,N
219124,N
220288,N
221512,N
222784,N
223920,N
225180,N
226340,N
227492,N
228664,N
229832,N
230964,N
232132,N
233276,N
234424,N
235564,N
236704,N
237808,N
238920,N
240036,N
241132,N
242204,N
243308,N
244392,N
245516,N
246612,N
247684,N
248760,N
249892,N
250988,N
252088,N
253172,N
254244,N
255356,N
256507,N
257724,N
258964,N
260116,N
261303,N
262488,N
263664,N
264820,N
266040,N
267188,N
268344,N
269480,N
270640,N
271816,N
272972,N
274140,N
275320,N
276484,N
277652,N
278824,N
279960,N
281100,N
282264,N
283392,N
284500,N
285644,N
286792,N
287932,N
289104,N
290280,N
291420,N
292556,N
293700,N
294820,N
295972,N
297096,N
298224,N
299360,N
300468,N
301580,N
302708,N
303840,N
305032,N
306196,N
307396,N
308608,N
309792,N
311108,N
312284,N
313444,N
314628,N
315788,N
316948,N
318192,N
319368,N
320556,N
321716,N
322876,N
324052,N
325224,N
326412,N
327600,N
328772,N
329988,N
331180,N
332356,N
333500,N
334624,N
335760,N
336872,N
338000,N
339124,N
340232,N
341332,N
342440,N
343524,N
344604,N
345688,N
346736,N
347484,S
348844,N
349972,N
351116,N
352248,N
353348,N
354488,N
355648,N
356800,N
357980,N
359176,N
360368,N
361556,N
362760,N
363940,N
365108,N
366280,N
367436,N
368560,N
369680,N
370804,N
371912,N
373000,N
374112,N
375212,N
376280,N
377368,N
378456,N
379540,N
380604,N
381676,N
382748,N
383816,N
384940,N
386020,N
387104,N
388208,N
389276,N
390344,N
391520,N
392628,N
393740,N
394928,N
396080,N
397244,N
398416,N
399660,N
400792,N
401960,N
403148,N
404316,N
405468,N
406632,N
407828,N
409012,N
410192,N
411392,N
412564,N
413812,N
414996,N
416168,N
417304,N
418444,N
419544,N
420636,N
421700,N
422756,N
423792,N
424828,N
425840,N
426884,N
427932,N
428960,N
430012,N
431056,N
432100,N
433192,N
434264,N
435336,N
436512,N
437656,N
438856,N
440004,N
441184,N
442348,N
443524,N
444764,N
445928,N
447172,N
448412,N
449644,N
450912,N
452176,N
453432,N
454680,N
455940,N
457180,N
458404,N
459584,N
460784,N
461984,N
463160,N
464312,N
465444,N
466556,N
467648,N
468756,N
469800,N
470828,N
471864,N
472936,N
