time,type
668,N
1660,N
2640,N
3628,N
4628,N
5600,N
6564,N
7544,N
8528,N
9528,N
10532,N
11524,N
12504,N
13484,N
14488,N
15504,N
16484,N
17456,N
18432,N
19368,N
20284,N
21192,N
22092,N
23012,N
23956,N
24904,N
25856,N
26820,N
27780,N
28744,N
29708,N
30680,N
31656,N
32607,N
33560,N
34520,N
35484,N
36428,N
37380,N
38328,N
39260,N
40172,N
41092,N
42000,N
42928,N
43880,N
44840,N
45804,N
46800,N
47808,N
48832,N
49848,N
50844,N
51848,N
52864,N
53876,N
54856,N
55792,N
56732,N
57696,N
58664,N
59628,N
60620,N
61640,N
62676,N
63704,N
64744,N
65784,N
66824,N
67844,N
68864,N
69880,N
70908,N
71932,N
72960,N
73980,N
74992,N
76012,N
77020,N
78028,N
79024,N
80004,N
80988,N
81968,N
82940,N
83916,N
84896,N
85876,N
86852,N
87832,N
88824,N
89816,N
90772,N
91732,N
92652,N
93564,N
94472,N
95384,N
96288,N
97200,N
98096,N
98976,N
99876,N
100772,N
101680,N
102592,N
103524,N
104460,N
105400,N
106332,N
107244,N
108132,N
109016,N
109888,N
110784,N
111704,N
112652,N
113636,N
114644,N
115672,N
116728,N
117776,N
118820,N
119880,N
120944,N
121988,N
123012,N
124028,N
125032,N
126016,N
127004,N
127984,N
128964,N
129943,N
130924,N
131904,N
132900,N
133896,N
134892,N
135884,N
136840,N
137792,N
138740,N
139668,N
140588,N
141504,N
142408,N
143300,N
144204,N
145128,N
146068,N
147004,N
147940,N
148896,N
149864,N
150832,N
151788,N
152764,N
153744,N
154732,N
155716,N
156692,N
157692,N
158692,N
159688,N
160696,N
161696,N
162680,N
163656,N
164636,N
165608,N
166584,N
167568,N
168552,N
169500,N
170424,N
171312,N
172192,N
173080,N
173988,N
174900,N
175804,N
176748,N
177700,N
178648,N
179564,N
180496,N
181452,N
182432,N
183424,N
184424,N
185440,N
186464,N
187484,N
188488,N
189496,N
190504,N
191504,N
192496,N
193488,N
194480,N
195480,N
196480,N
197472,N
198476,N
199484,N
200456,N
201412,N
202368,N
203332,N
204280,N
205220,N
206164,N
207116,N
208060,N
209020,N
209996,N
210972,N
211964,N
212940,N
213940,N
214932,N
215912,N
216880,N
217864,N
218852,N
219828,N
220812,N
221796,N
222780,N
223744,N
224700,N
225660,N
226616,N
227552,N
228500,N
229456,N
230404,N
231356,N
232324,N
233296,N
234264,N
235212,N
236176,N
237128,N
238068,N
239020,N
239988,N
240952,N
241916,N
242892,N
243868,N
244832,N
245796,N
246768,N
247736,N
248700,N
249656,N
250616,N
251572,N
252520,N
253480,N
254460,N
255440,N
256404,N
257356,N
258288,N
259228,N
260164,N
261088,N
262031,N
262976,N
263912,N
264816,N
265736,N
266652,N
267544,N
268444,N
269352,N
270248,N
271140,N
272032,N
272928,N
273844,N
274784,N
275764,N
276776,N
277800,N
278828,N
279872,N
280912,N
281944,N
282980,N
284016,N
285032,N
286036,N
287040,N
288048,N
289048,N
290036,N
291016,N
292012,N
292996,N
293952,N
294920,N
295896,N
296876,N
297848,N
298812,N
299796,N
300776,N
301748,N
302728,N
303724,N
304724,N
305728,N
306740,N
307752,N
308756,N
309748,N
310760,N
311780,N
312788,N
313784,N
314800,N
315804,N
316788,N
317760,N
318740,N
319728,N
320704,N
321684,N
322672,N
323660,N
324648,N
325644,N
326644,N
327624,N
328596,N
329568,N
330552,N
331512,N
332476,N
333448,N
334420,N
335376,N
336336,N
337304,N
338284,N
339252,N
340212,N
341196,N
342172,N
343136,N
344108,N
345084,N
346052,N
347012,N
347984,N
348952,N
349924,N
350884,N
351840,N
352780,N
353720,N
354680,N
355648,N
356624,N
357600,N
358600,N
359604,N
360608,N
361596,N
362612,N
363620,N
364616,N
365616,N
366620,N
367620,N
368604,N
369572,N
370560,N
371548,N
372536,N
373496,N
374476,N
375460,N
376448,N
377420,N
378408,N
379400,N
380388,N
381368,N
382340,N
383324,N
384316,N
385308,N
386296,N
387288,N
388288,N
389292,N
390308,N
391328,N
392352,N
393360,N
394348,N
395352,N
396352,N
397356,N
398336,N
399308,N
400280,N
401252,N
402212,N
403152,N
404100,N
405060,N
406008,N
406936,N
407888,N
408856,N
409824,N
410764,N
411728,N
412700,N
413684,N
414652,N
415628,N
416600,N
417572,N
418532,N
419500,N
420480,N
421468,N
422468,N
423468,N
424480,N
425484,N
426476,N
427480,N
428484,N
429480,N
430468,N
431468,N
432460,N
433432,N
434400,N
435384,N
436364,N
437352,N
438324,N
439312,N
440308,N
441304,N
442284,N
443272,N
444260,N
445248,N
446220,N
447196,N
448176,N
449156,N
450120,N
451088,N
452060,N
453048,N
454024,N
455000,N
455972,N
456948,N
457920,N
458892,N
459872,N
460868,N
461852,N
462840,N
463840,N
464812,N
465768,N
466720,N
467612,N
