time,type
108,N
1024,N
1976,N
2912,N
3836,N
4756,N
5632,N
6476,N
7332,N
8208,N
9092,N
9980,N
10892,N
11816,N
12692,N
13524,N
14332,N
15160,N
16084,N
16984,N
17956,N
19016,N
20108,N
21132,N
22080,N
23044,N
24036,N
25008,N
26008,N
27036,N
28092,N
29120,N
30120,N
31128,N
32119,N
33048,N
33904,N
34784,N
35700,N
36688,N
37644,N
38612,N
39604,N
40540,N
41492,N
42448,N
43360,N
44320,N
45360,N
46436,N
47476,N
48516,N
49580,N
50644,N
51664,N
52716,N
53800,N
54848,N
55928,N
57012,N
58132,N
59200,N
60264,N
61308,N
62328,N
63424,N
64480,N
65504,N
66528,N
67504,N
68432,N
69364,N
70452,N
71532,N
72528,N
73548,N
74504,N
75372,N
76180,N
76956,N
77752,N
78628,N
79788,N
80860,N
81872,N
82932,N
84024,N
85076,N
86040,N
87000,N
87984,N
88980,N
89956,N
90940,N
91916,N
92884,N
93928,N
95048,N
96148,N
97196,N
98236,N
99196,N
100124,N
101056,N
102012,N
102956,N
103920,N
104912,N
106000,N
107032,N
108076,N
109132,N
110196,N
111236,N
112304,N
113324,N
114360,N
115408,N
116520,N
117584,N
118664,N
119716,N
120732,N
121788,N
122848,N
123860,N
124880,N
125968,N
126992,N
127936,N
128848,N
129852,N
130955,N
132000,N
132988,N
134008,N
135032,N
135972,N
136852,N
137736,N
138648,N
139536,N
140392,N
141244,N
142160,N
143136,N
144104,N
145024,N
145972,N
146948,N
147896,N
148824,N
149760,N
150768,N
151748,N
152684,N
153636,N
154660,N
155716,N
156700,N
157708,N
158736,N
159816,N
160864,N
161936,N
162996,N
164020,N
165112,N
166192,N
167212,N
168276,N
169320,N
170344,N
171340,N
172388,N
173452,N
174436,N
175412,N
176428,N
177460,N
178424,N
179392,N
180352,N
181276,N
182168,N
183088,N
184052,N
184972,N
185876,N
186796,N
187728,N
188628,N
189520,N
190436,N
191392,N
192320,N
193248,N
194224,N
195192,N
196140,N
197104,N
198096,N
199044,N
199996,N
200976,N
201972,N
202968,N
204024,N
205108,N
206128,N
207156,N
208196,N
209200,N
210200,N
211232,N
212300,N
213332,N
214380,N
215448,N
216476,N
217452,N
218420,N
219336,N
220248,N
221200,N
222292,N
223352,N
224340,N
225316,N
226328,N
227324,N
228280,N
229260,N
230244,N
231236,N
232184,N
233108,N
234060,N
235020,N
235984,N
237012,N
238064,N
239108,N
240096,N
241104,N
242076,N
243048,N
244100,N
245184,N
246192,N
247172,N
248180,N
249208,N
250168,N
251140,N
252180,N
253296,N
254352,N
255344,N
256344,N
257372,N
258351,N
259288,N
260248,N
261312,N
262388,N
263444,N
264512,N
265568,N
266592,N
267596,N
268600,N
269608,N
270592,N
271612,N
272684,N
273736,N
274728,N
275744,N
276740,N
277712,N
278640,N
279648,N
280756,N
281888,N
282972,N
284064,N
285164,N
286184,N
287096,N
288012,N
289056,N
290068,N
291116,N
292252,N
293352,N
294312,N
295192,N
296024,N
296864,N
297668,N
298464,N
299260,N
300068,N
301020,N
301908,N
302772,N
303692,N
304680,N
305600,N
306444,N
307256,N
308068,N
308880,N
309652,N
310348,N
311060,N
311836,N
312596,N
313464,N
314372,N
315224,N
316052,N
316896,N
317840,N
318776,N
319788,N
320852,N
321916,N
322940,N
323976,N
325012,N
326052,N
327108,N
328212,N
329328,N
330392,N
331520,N
332628,N
333744,N
334820,N
335884,N
336936,N
337948,N
338968,N
