time,type
844,N
1892,N
2848,N
3756,N
4632,N
5480,N
6372,N
7296,N
8188,N
9008,N
9852,N
10756,N
11736,N
12716,N
13664,N
14632,N
15572,N
16512,N
17432,N
18420,N
19404,N
20400,N
21340,N
22216,N
23092,N
24008,N
24916,N
25856,N
26788,N
27752,N
28724,N
29728,N
30700,N
31580,N
32476,N
33420,N
34396,N
35420,N
36388,N
37352,N
38384,N
39328,N
40232,N
41092,N
41900,N
42656,N
43376,N
44104,N
44828,N
45600,N
46392,N
47260,N
48176,N
49084,N
49980,N
50920,N
51764,N
52588,N
53428,N
54284,N
55104,N
55924,N
56760,N
57628,N
58536,N
59480,N
60372,N
61268,N
62072,N
62844,N
63648,N
64560,N
65552,N
66532,N
67524,N
68480,N
69440,N
70404,N
71416,N
72392,N
73308,N
74272,N
75332,N
76408,N
77468,N
78544,N
79568,N
80576,N
81608,N
82564,N
83472,N
84464,N
85452,N
86404,N
87368,N
88336,N
89312,N
90336,N
91348,N
92356,N
93360,N
94376,N
95400,N
96360,N
97328,N
98312,N
99340,N
100372,N
101392,N
102340,N
103288,N
104148,N
104956,N
105720,N
106528,N
107484,N
108468,N
109444,N
110420,N
111416,N
112384,N
113312,N
114160,N
114952,N
115804,N
116828,N
117820,N
118880,N
119952,N
120968,N
121956,N
122928,N
123916,N
124940,N
125932,N
126916,N
127864,N
128824,N
129820,N
130788,N
131792,N
132808,N
133840,N
134808,N
135756,N
136776,N
137792,N
138812,N
139776,N
140736,N
141740,N
142668,N
143620,N
144548,N
145496,N
146464,N
147396,N
148332,N
149300,N
150276,N
151272,N
152280,N
153220,N
154176,N
155132,N
156092,N
157032,N
157928,N
158868,N
159856,N
160824,N
161820,N
162776,N
163708,N
164660,N
165620,N
166548,N
167512,N
168500,N
169528,N
170444,N
171420,N
172460,N
173364,N
174324,N
175324,N
176276,N
177188,N
178048,N
178892,N
179832,N
180784,N
181760,N
182652,N
183592,N
184520,N
185412,N
186372,N
187404,N
188412,N
189372,N
190356,N
191328,N
192292,N
193264,N
194280,N
195268,N
196320,N
197448,N
198492,N
199540,N
200548,N
201536,N
202568,N
203564,N
204600,N
205664,N
206632,N
207644,N
208632,N
209608,N
210636,N
211628,N
212604,N
213604,N
214560,N
215568,N
216564,N
217520,N
218516,N
219536,N
220532,N
221492,N
222488,N
223440,N
224404,N
225408,N
226412,N
227408,N
228448,N
229456,N
230420,N
231432,N
232412,N
233328,N
234208,N
234992,N
235784,N
236688,N
237620,N
238576,N
239588,N
240552,N
241524,N
242508,N
243500,N
244492,N
245468,N
246508,N
247568,N
248596,N
249632,N
250612,N
251592,N
252628,N
253680,N
254720,N
255748,N
256744,N
257748,N
258708,N
259648,N
260560,N
261528,N
262468,N
263456,N
264396,N
265312,N
266248,N
267188,N
268176,N
269144,N
270116,N
271136,N
272164,N
273208,N
274220,N
275196,N
276212,N
277240,N
278272,N
279324,N
280348,N
281396,N
282400,N
283428,N
284452,N
285456,N
286344,N
287172,N
287972,N
288780,N
289552,N
290364,N
291164,N
292024,N
292916,N
293856,N
294700,N
295568,N
296412,N
297204,N
298000,N
298848,N
299648,N
300408,N
301216,N
302016,N
302880,N
303772,N
304712,N
305672,N
306640,N
307584,N
308520,N
309512,N
310520,N
311508,N
312540,N
313560,N
314588,N
315576,N
316612,N
317628,N
318536,N
319524,N
320616,N
321712,N
322800,N
323792,N
324748,N
325680,N
326600,N
327596,N
328628,N
329636,N
330580,N
331468,N
332416,N
333464,N
334468,N
335484,N
336488,N
337412,N
338380,N
339376,N
340364,N
341344,N
342348,N
343292,N
344252,N
345248,N
346232,N
347200,N
